"astro-ph/0410281","Max Tegmark","Max Tegmark","What does inflation really predict?","Replaced to match accepted JCAP version. Improved discussion,
  references. 42 pages, 17 figs","JCAP 0504:001,2005","10.1088/1475-7516/2005/04/001",,"astro-ph gr-qc hep-th",,"  If the inflaton potential has multiple minima, as may be expected in, e.g.,
the string theory ""landscape"", inflation predicts a probability distribution
for the cosmological parameters describing spatial curvature (Omega_tot), dark
energy (rho_Lambda, w, etc.), the primordial density fluctuations (Omega_tot,
dark energy (rho_Lambda, w, etc.). We compute this multivariate probability
distribution for various classes of single-field slow-roll models, exploring
its dependence on the characteristic inflationary energy scales, the shape of
the potential V and and the choice of measure underlying the calculation. We
find that unless the characteristic scale Delta-phi on which V varies happens
to be near the Planck scale, the only aspect of V that matters observationally
is the statistical distribution of its peaks and troughs. For all energy scales
and plausible measures considered, we obtain the predictions Omega_tot ~
1+-0.00001, w=-1 and rho_Lambda in the observed ballpark but uncomfortably
high. The high energy limit predicts n_s ~ 0.96, dn_s/dlnk ~ -0.0006, r ~ 0.15
and n_t ~ -0.02, consistent with observational data and indistinguishable from
eternal phi^2-inflation. The low-energy limit predicts 5 parameters but prefers
larger Q and redder n_s than observed. We discuss the coolness problem, the
smoothness problem and the pothole paradox, which severely limit the viable
class of models and measures. Our findings bode well for detecting an
inflationary gravitational wave signature with future CMB polarization
experiments, with the arguably best-motivated single-field models favoring the
detectable level r ~ 0.03. (Abridged)
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 19:41:44 GMT""},{""version"":""v2"",""created"":""Fri, 11 Mar 2005 21:00:28 GMT""}]","2009-10-07"
"math-ph/0410034","Ana Lucia Barbosa","R. Aldrovandi and A. L. Barbosa","Wu-Yang ambiguity in connection space","7 pages, revtex4",,,,"math-ph math.MP",,"  Two distinct gauge potentials can have the same field strength, in which case
they are said to be ``copies'' of each other. The consequences of this
possibility for the general space A of gauge potentials are examined. Any two
potentials are connected by a straight line in A, but a straight line going
through two copies either contains no other copy or is entirely formed by
copies.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 19:10:25 GMT""}]","2007-05-23"
"math-ph/0410035","Richard L. Hall","Richard L. Hall, Qutaibeh D. Katatbeh, Nasser Saad","A basis for variational calculations in d dimensions","22 pages","J. Phys. A 37, 11629 - 11644 (2004)","10.1088/0305-4470/37/48/008","CUQM-105","math-ph math.MP",,"  In this paper we derive expressions for matrix elements (\phi_i,H\phi_j) for
the Hamiltonian H=-\Delta+\sum_q a(q)r^q in d > 1 dimensions.
  The basis functions in each angular momentum subspace are of the form
phi_i(r)=r^{i+1+(t-d)/2}e^{-r^p/2}, i >= 0, p > 0, t > 0. The matrix elements
are given in terms of the Gamma function for all d. The significance of the
parameters t and p and scale s are discussed. Applications to a variety of
potentials are presented, including potentials with singular repulsive terms of
the form b/r^a, a,b > 0, perturbed Coulomb potentials -D/r + B r + Ar^2, and
potentials with weak repulsive terms, such as -g r^2 + r^4, g > 0.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 20:52:00 GMT""}]","2009-11-10"
"math-ph/0410036","Hellmut Baumgaertel","Hellmut Baumgaertel","On Lax-Phillips semigroups","16 pages",,,,"math-ph math.MP",,"  Lax-Phillips evolutions are described by two-space scattering systems. The
canonical identification operator is characterized for Lax-Phillips evolutions,
whose outgoing and incoming projections commute. In this case a (generalized)
Lax-Phillips semigroup can be introduced and its spectral theory is considered.
In the special case, originally considered by Lax and Phillips (where the
outgoing and incoming subspaces are mutually orthogonal), this semigroup
coincides with that introduced by Lax and Phillips. In the more general case
the existence of the semigroup is not coupled with the (global) holomorphic
continuability of the scattering matrix into the upper half plane. The basic
connection of the Lax-Phillips semigroup to the so-called characteristic
semigroup of the reference evolution is emphasized.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 10:56:30 GMT""}]","2007-05-23"
"math/0410291","Hiroshige Kajiura","Hiroshige Kajiura, Jim Stasheff","Homotopy algebras inspired by classical open-closed string field theory","30 pages, 14 figures; v2: added an appendix by M.Markl, ambiguous
  terminology fixed, minor corrections; v3: published version","Commun.Math.Phys. 263 (2006) 553-581","10.1007/s00220-006-1539-2","YITP-05-62","math.QA hep-th math.AT",,"  We define a homotopy algebra associated to classical open-closed strings. We
call it an open-closed homotopy algebra (OCHA). It is inspired by Zwiebach's
open-closed string field theory and also is related to the situation of
Kontsevich's deformation quantization. We show that it is actually a homotopy
invariant notion; for instance, the minimal model theorem holds. Also, we show
that our open-closed homotopy algebra gives us a general scheme for deformation
of open string structures (A(infinity)-algebras) by closed strings
(L(infinity)-algebras).
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 19:12:39 GMT""},{""version"":""v2"",""created"":""Mon, 28 Feb 2005 14:48:14 GMT""},{""version"":""v3"",""created"":""Fri, 30 Jun 2006 10:58:27 GMT""}]","2009-11-10"
"math/0410292","Alexander Schmidt","Alexander Schmidt","Tame class field theory for arithmetic schemes",,,"10.1007/s00222-004-0415-y",,"math.NT math.KT",,"  We extend the unramified class field theory for arithmetic schemes of K. Kato
and S. Saito to the tame case. Let $X$ be a regular proper arithmetic scheme
and let $D$ be a divisor on $X$ whose vertical irreducible components are
normal schemes.
  Theorem: There exists a natural reciprocity isomorphism \[ \rec_{X,D}:
\CH_0(X,D) \liso \tilde \pi_1^t(X,D)^\ab\. \] Both groups are finite.
  This paper corrects and generalizes my paper ""Relative K-theory and class
field theory for arithmetic surfaces"" (math.NT/0204330)
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 16:35:17 GMT""}]","2009-11-10"
"math/0410293","Iain Gordon","I. Gordon and J.T.Stafford","Rational Cherednik algebras and Hilbert schemes II: representations and
  sheaves",,,,,"math.RT math.RA",,"  Let H_c be the rational Cherednik algebra of type A_{n-1} with spherical
subalgebra U_c=eH_ce. Then U_c is filtered by order of differential operators
with associated graded ring gr U_c=C[h + h*]^W, where W is the n-th symmetric
group. Using the Z-algebra construction from our earlier paper
(math.RA/0407516) it is also possible to associate to a filtered H_c- or
U_c-module M a coherent sheaf on the Hilbert scheme Hilb(n).
  Using this technique, we study the representation theory of U_c and H_c, and
relate it to Hilb(n) and to the resolution of singularities from Hilb(n) to
h+h*/W. For example, we prove:
  (1) If c=1/n, so that L_c(triv) is the unique one-dimensional simple
H_c-module, then L_c(triv) corresponds to the structure sheaf of the punctual
Hilbert scheme.
  (2) If c=1/n+k (for k some natural number) then, under a canonical filtration
on the finite dimensional module L_c(triv), gr eL_{c}(triv) has a natural
bigraded structure which coincides with that on the global sections of certain
ample line bundles on the punctual Hilbert scheme; this confirms conjectures of
Berest, Etingof and Ginzburg, and relates representations of H_c and U_c with
Haiman's combinatorial work on the Hilbert scheme.
  (3) Under mild restrictions on c, the characteristic cycle of the standard
H_c-modules are described in terms of certain irreducible subvarieties of the
Hilbert scheme (appearing originally in work of Grojnowski) with multiplicities
given by Kostka numbers.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 16:54:01 GMT""}]","2007-05-23"
"math/0410294","Andrew McIntyre","Andrew McIntyre and Leon A. Takhtajan","Holomorphic factorization of determinants of laplacians on Riemann
  surfaces and a higher genus generalization of Kronecker's first limit formula","LaTex, 31 pages, no figures; minor typos corrected, final version to
  appear in Geometric and Functional Analysis","Geom. and Funct. Analysis, v. 16 (2006), 1291--1323",,,"math.CV hep-th math.SP",,"  For a family of compact Riemann surfaces X_t of genus g>1 parametrized by the
Schottky space S_g, we define a natural basis for the holomorphic
n-differentials on X_t which varies holomorphically with t and generalizes the
basis of normalized abelian differentials of the first kind for n=1. We
introduce a holomorphic function F(n) on S_g which generalizes the classical
product \prod(1-q^m)^2 appearing in the Dedekind eta function for n=1 and g=1.
We prove a holomorphic factorization formula expressing the regularized
determinant of the Laplacian as a product of |F(n)|^2, a holomorphic anomaly
depending on the classical Liouville action (a Kahler potential of S_g), and
the determinant of the Gram matrix of the natural basis. The factorization
formula reduces to Kronecker's first limit formula when n=1 and g=1, and to
Zograf's factorization formula for n=1 and g>1.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 17:44:10 GMT""},{""version"":""v2"",""created"":""Fri, 29 Sep 2006 14:31:55 GMT""}]","2015-01-12"
"math/0410295","Michael Loenne","Michael L\""onne","On bifurcation braid monodromy of elliptic fibrations","17 pages, 2 figures",,,,"math.AG",,"  We define a monodromy homomorphism for irreducible families of regular
elliptic fibrations which takes values in the mapping class group of a
punctured sphere. We compute the monodromy for elliptic fibrations only which
contain no singular fibres of types other than I_1 and I*_0. There are maximal
groups, which can be the monodromy groups of algebraic, resp. differentiable
families of elliptic surfaces, and we give an algebraic criterion for the
equality of both groups which we can check to apply in case the number of I_1
fibres is at most 6.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 18:33:03 GMT""}]","2007-05-23"
"math/0410296","Pengfei Guan","Pengfei Guan","Extremal function of intrinsic norms","15 pages, published version","Ann. of Math. (2), Vol. 156 (2002), no. 1, 197--211",,,"math.CV",,"  Through the study of the degenerate complex Monge-Amp\`ere equation, we
establish the optimal regularity of the extremal function associated to
intrinsic norms of Chern-Levine-Nirenberg and Bedford-Taylor. We prove a
conjecture of Chern-Levine-Nirenberg on the extended intrinsic norms on complex
manifolds and verify Bedford-Taylor's representation formula for these norms in
general.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 19:04:24 GMT""}]","2007-05-23"
"math/0410297","Bernd Kellner","Bernd C. Kellner","A conjecture about numerators of Bernoulli numbers related to Integer
  Sequence A092291","11 pages",,,,"math.NT",,"  In this paper we disprove a conjecture about numerators of divided Bernoulli
numbers $B_n/n$ and $B_n/n(n-1)$ which was suggested by Roland Bacher. We give
some counterexamples. Finally, we extend the results to the general case.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 20:05:49 GMT""}]","2007-05-23"
"math/0410298","Xiao-Song Lin","Jianjun Tian and Xiao-Song Lin","Continuous Time Markov Processes on Graphs","18 pages",,,,"math.PR math.CO",,"  We study continuous time Markov processes on graphs. The notion of frequency
is introduced, which serves well as a scaling factor between any Markov time of
a continuous time Markov process and that of its jump chain. As an application,
we study ``multi-person simple random walks'' on a graph G with n vertices.
There are n persons distributed randomly at the vertices of G. In each step of
this discrete time Markov process, we randomly pick up a person and move it to
a random adjacent vertex. We give estimate on the expected number of steps for
these $n$ persons to meet all together at a specific vertex, given that they
are at different vertices at the begininng. For regular graphs, our estimate is
exact.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 21:05:40 GMT""}]","2007-05-23"
"math/0410299","Minoru Ogawa","Minoru Ogawa (Nagoya University)","A sufficient condition for pseudointegrable systems with weak mixing
  property","11 pages, 2 figures",,,,"math.DS",,"  We present a sufficient condition that a pseudointegrable system has weak
mixing property. The result is derived from Veech's weak mixing theorem for
interval exhange [Veech, W.A. Amer.J.Math. {\bf 106}, 1331 (1984)]. We also
present an example whose weak mixing property can be proved by the result.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 23:37:35 GMT""}]","2007-05-23"
"math/0410300","Peter S. Ozsvath","Peter Ozsvath and Zoltan Szabo","Knot Floer homology and integer surgeries","Minor revisions",,,,"math.GT math.SG",,"  Let $K$ be a null-homologous knot in a three-manifold $Y$. We give a
description of the Heegaard Floer homology of integer surgeries on $Y$ along
$K$ in terms of the filtered homotopy type of the knot invariant for $K$. As an
illustration, we calculate the Heegaard Floer homology groups of non-trivial
circle bundles over Riemann surfaces.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 23:43:51 GMT""},{""version"":""v2"",""created"":""Sat, 8 Dec 2007 11:47:30 GMT""}]","2007-12-08"
"math/0410301","Peter McNamara","Peter McNamara","Cylindric skew Schur functions","32 pages, 14 figures. Minor expository improvements. Version to
  appear in Advances in Mathematics","Advances in Mathematics 205 (2006), 275-312",,,"math.CO",,"  Cylindric skew Schur functions, which are a generalisation of skew Schur
functions, arise naturally in the study of P-partitions. Also, recent work of
A. Postnikov shows they have a strong connection with a problem of considerable
current interest: that of finding a combinatorial proof of the non-negativity
of the 3-point Gromov-Witten invariants. After explaining these motivations, we
study cylindric skew Schur functions from the point of view of
Schur-positivity. Using a result of I. Gessel and C. Krattenthaler, we
generalise a formula of A. Bertram, I. Ciocan-Fontanine and W. Fulton, thus
giving an expansion of an arbitrary cylindric skew Schur function in terms of
skew Schur functions. While we show that no non-trivial cylindric skew Schur
functions are Schur-positive, we conjecture that this can be reconciled using
the new concept of cylindric Schur-positivity.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 01:14:14 GMT""},{""version"":""v2"",""created"":""Wed, 29 Jun 2005 21:52:07 GMT""}]","2007-05-23"
"math/0410302","Toshihiko Matsuki","Toshihiko Matsuki","Equivalence of domains arising from duality of orbits on flag manifolds
  III","15 pages","Trans. Amer. Math. Soc. 359 (2007),4773-4786",,,"math.RT math.AG",,"  In [GM1], we defined a G_R-K_C invariant subset C(S) of G_C for each
K_C-orbit S on every flag manifold G_C/P and conjectured that the connected
component C(S)_0 of the identity would be equal to the Akhiezer-Gindikin domain
D if S is of nonholomorphic type. This conjecture was proved for closed S in
[WZ2,WZ3,FH,M4] and for open S in [M4]. It was proved for the other orbits in
[M5] when G_R is of non-Hermitian type. In this paper, we prove the conjecture
for an arbitrary non-closed K_C-orbit when G_R is of Hermitian type. Thus the
conjecture is completely solved affirmatively.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 01:24:57 GMT""}]","2016-03-08"
