"astro-ph/0412525","Guenter Sigl","Eric Armengaud, Guenter Sigl (GReCO, and APC, Paris), Francesco
  Miniati (ETH Zuerich)","Ultrahigh Energy Nuclei Propagation in a Structured, Magnetized Universe","17 pages, 35 ps figures included","Phys.Rev. D72 (2005) 043009","10.1103/PhysRevD.72.043009",,"astro-ph hep-ph",,"  We compare the propagation of iron and proton nuclei above 10^19 eV in a
structured Universe with source and magnetic field distributions obtained from
a large scale structure simulation and source densities about 10^(-5) Mpc^(-3).
All relevant cosmic ray interactions are taken into account, including
photo-disintegration and propagation of secondary products. Iron injection
predicts spectral shapes different from proton injection which disagree with
existing data below about 30 EeV. Injection of light nuclei or protons must
therefore contribute at these energies. However, at higher energies, existing
data are consistent with injection of pure iron with spectral indices between 2
and 2.4. This allows a significant recovery of the spectrum above roughly 100
EeV, especially in the case of large deflections. Significant auto-correlation
and anisotropy, and considerable cosmic variance are also predicted in this
energy range. The mean atomic mass A fluctuates considerably between different
scenarios. At energies below 60 EeV, if the observed A > 35, magnetic fields
must have a negligible effect on propagation. At the highest energies the
observed flux will be dominated by only a few sources whose location may be
determined by next generation experiments to within 10-20 degrees even if
extra-galactic magnetic fields are important.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 16:02:28 GMT""}]","2009-11-10"
"physics/0412129","Shervgi Shahverdiyev","Shervgi S. Shahverdiyev","Comments on ""Finsler Geometry and Relativistic Field Theory""","4 pages",,,,"physics.gen-ph",,"  We show that results obtained in paper Foundations of Physics 33, No. 7, 1107
(2003), are not correct.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 09:20:46 GMT""}]","2007-05-23"
"physics/0412130","Volker Naulin","V. Naulin, A. Kendl, O. E. Garcia, A. H. Nielsen, J. Juul Rasmussen","Shear Flow Generation and Energetics in Electromagnetic Turbulence","16 pages, 12 Figures",,"10.1063/1.1905603",,"physics.plasm-ph physics.comp-ph",,"  Zonal flows are recognised to play a crucial role for magnetised plasma
confinement. The genesis of these flows out of turbulent fluctuations is
therefore of significant interest. We investigate the relative importance of
zonal flow generation mechanisms via the Reynolds stress, Maxwell stress, and
geodesic acoustic mode (GAM) transfer in drift-Alfv\'en turbulence. By means of
numerical computations we quantify the energy transfer into zonal flows owing
to each of these effects. The importance of the three driving ingredients in
electrostatic and electromagnetic turbulence for conditions relevant to the
edge of fusion devices is revealed for a broad range of parameters. The
Reynolds stress is found to provide a flow drive, while the electromagnetic
Maxwell stress is in the cases considered a sink for the flow energy. In the
limit of high plasma beta, where electromagnetic effects and Alfv\'en dynamics
are important, the Maxwell stress is found to cancel the Reynolds stress to a
high degree. The geodesic oscillations, related to equilibrium pressure profile
modifications due to poloidally asymmetric transport, can act as both sinks as
drive terms, depending on the parameter regime. For high beta cases the GAMs
are the main drive of the flow. This is also reflected in the frequency
dependence of the flow, showing a distinct peak at the GAM frequency in that
regime.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 11:26:31 GMT""}]","2009-11-10"
"physics/0412131","Tom Mackay","Tom G. Mackay (University of Edinburgh)","Plane waves with negative phase velocity in isotropic chiral mediums",,"Microwave Opt. Technol. Lett. 45 (2005), 120-121",,,"physics.optics",,"  The propagation of plane waves in an isotropic chiral medium (ICM) is
investigated. Simple conditions are derived--in terms of the constitutive
parameters of the ICM--for the phase velocity to be directed opposite to the
direction of power flow. It is demonstrated that phase velocity and power flow
may be oppositely directed provided that the magnetoelectric coupling is
sufficiently strong.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 10:57:25 GMT""},{""version"":""v2"",""created"":""Thu, 3 Feb 2005 13:15:31 GMT""},{""version"":""v3"",""created"":""Thu, 5 May 2005 13:53:39 GMT""}]","2007-05-23"
"physics/0412132","Rajeev Bhalerao","R.S. Bhalerao (Tata Inst. of Fundamental Research, Mumbai, India)","Brownian Motion for the School-Going Child","10 pages, 2 figs. Elementary article meant for high-school children.
  Prepared on the occasion of ""2005 International Year of Physics"". See also
  physics/0411219",,,"TIFR/TH/04-31","physics.ed-ph physics.pop-ph",,"  The phenomenon of Brownian motion and Einstein's contribution to its
understanding are introduced in a simple language.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 11:04:34 GMT""}]","2007-05-23"
"physics/0412133","Klaus Capelle","E. Orestes, A.B.F. da Silva and K. Capelle","Energy lowering of current-carrying single-particle states in open-shell
  atoms due to an exchange-correlation vector potential","13 pages, accepted by Int. J. Quantum Chem","Int. J. Quantum Chem. 103, p. 516 (2005)","10.1002/qua.20575",,"physics.chem-ph cond-mat.mtrl-sci physics.atom-ph",,"  Current-density-functional theory is used to perturbatively calculate
single-particle energies of open-shell atoms prepared in a current-carrying
state. We focus on the highest occupied such energy, because its negative is,
in principle, the exact ionization energy. A variety of different density
functionals and calculational schemes are compared with each other and
experiment. When the atom is prepared in a current-carrying state, a
current-dependent exchange-correlation functional is found to slightly lower
the single-particle energy of the current-carrying orbital, as compared to a
calculation using standard (current independent) density functionals for the
same system. The current-dependent terms in the exchange-correlation functional
thus provide additional stabilization of the current-carrying state.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 11:08:10 GMT""}]","2015-06-26"
"physics/0412134","Klaus Capelle","K. Capelle","Surveying the solar system by measuring angles and times: from the solar
  density to the gravitational constant","12 pges, one figure","Eur. J. Phys. 25, p.605 (2004)","10.1088/0143-0807/25/5/003",,"physics.ed-ph physics.hist-ph",,"  A surprisingly large amount of information on our solar system can be gained
from simple measurements of the apparent angular diameters of the sun and the
moon. This information includes the average density of the sun, the distance
between earth and moon, the radius of the moon, and the gravitational constant.
In this note it is described how these and other quantities can be obtained by
simple earthbound measurements of angles and times only, without using any
explicit information on distances between celestial bodies. The pedagogical and
historical aspects of these results are also discussed briefly.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 11:14:42 GMT""}]","2009-11-10"
"physics/0412136","Eric Moreau","Eric Moreau (LASEP), Olivier Vall\'ee (LASEP)","Connection between the Burgers equation with an elastic forcing term and
  a stochastic process",,,,,"physics.plasm-ph math-ph math.MP",,"  We present a complete analytical resolution of the one dimensional Burgers
equation with the elastic forcing term $-\kappa^{2} x+f(t)$,
$\kappa\in\mathbb{R}$. Two methods existing for the case $\kappa=0$ are adapted
and generalized using variable and function transformations, valid for all
values of space an time. The emergence of a Fokker-Planck equation in the
method allows to connect a fluid model, depicted by the Burgers equation, with
an Ornstein-Uhlenbeck process.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 13:27:54 GMT""},{""version"":""v2"",""created"":""Fri, 4 Feb 2005 07:51:51 GMT""},{""version"":""v3"",""created"":""Mon, 7 Feb 2005 09:00:51 GMT""},{""version"":""v4"",""created"":""Mon, 28 Feb 2005 13:26:42 GMT""}]","2016-08-16"
"physics/0412137","Sylvain Lazare","Sylvain Lazare (LPCM), Vladimir Tokarev (LPCM)","Recent Experimental and Theoretical Advances in Microdrilling of
  Polymers with Ultraviolet Laser Beams","conference invitee internationale","S. Lazare, V. Tokarev, Invited in Fifth International Symposium on
  Laser Precision Microfabrication, edited by Isamu Miyamoto, Henry Helvajian,
  Kazuyoshi Itoh, Kojiro F. Kobayashi, Andreas Ostendorf, Koji Sugioka,
  Proceedings of SPIE Vol. 5662 (SPIE, Bell, Japon (2004) 221-231","10.1117/12.596295",,"physics.chem-ph",,"  Laser drilling becomes of increasing importance when hole diameter is in the
range of 10 to 50 mum, for which conventional alternative approaches are
becoming difficult and cost inefficient. Furthermore, it is viewed as the
technique of choice for a number of composite materials and hard materials
which are not readily processed at the microscopic level by contact mechanical
tools. We have demonstrated that suitable experimental conditions are capable
of producing microholes with record aspect-ratio (up to 600) in pure polymers
like PET, PI, PC, PS, PMMA, PEEK,... For example holes of diameter typically 30
mum can be as long as 18 mm, depth at which the drilling rate is getting nearly
zero and the profile stationary. Other materials (metals, ceramics) which can
be similarly laser microdrilled do not exhibit such very high aspect-ratio. The
mechanisms of the drilling process have been studied in details and an original
analytical model has been constructed recently. The various experimental
results, obtained with the KrF laser, will be reviewed with emphasis on the
parameters leading to formation of good holes with high aspect-ratio. For the
application it is also important to note that such high values of aspect-ratio
are obtained with regular configuration of the KrF laser giving a standard
divergence of 3 mrad. However as shown by the model there is still room for
improvement by using a beam with a lower divergence (theoretical limit is 0.2
mrad). Further experimental work is now in progress.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 14:22:32 GMT""}]","2009-11-10"
"q-bio/0412039","Allahyaroff","E.Allahyarov, G.Gompper, H.L\""owen","DNA condensation and redissolution: Interaction between overcharged DNA
  molecules","26 pages, 10 figures",,"10.1088/0953-8984/17/20/012",,"q-bio.BM",,"  The effective DNA-DNA interaction force is calculated by computer simulations
with explicit tetravalent counterions and monovalent salt. For overcharged DNA
molecules, the interaction force shows a double-minimum structure. The
positions and depths of these minima are regulated by the counterion density in
the bulk. Using two-dimensional lattice sum and free energy perturbation
theories, the coexisting phases for DNA bundles are calculated. A
DNA-condensation and redissolution transition and a stable mesocrystal with an
intermediate lattice constant for high counterion concentration are obtained.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 00:52:46 GMT""},{""version"":""v2"",""created"":""Fri, 21 Jan 2005 18:33:11 GMT""}]","2009-11-10"
"quant-ph/0412154","Lajos Di\'osi","Lajos Diosi","Intrinsic time-uncertainties and decoherence: comparison of 4 models","7pp, 2 figs; Talk given at International Workshop DICE2004 (Piombino,
  Sept 1-4, 2004); Minor changes in quotations","Braz.J.Phys.35:260-265,2005",,,"quant-ph gr-qc",,"  Four models of energy decoherence are discussed from the common perspective
of intrinsic time-uncertainty. The four authors -- Milburn, Adler, Penrose, and
myself -- have four different approaches. The present work concentrates on
their common divisors at the level of the proposed equations rather than at the
level of the interpretations. General relationships between time-uncertainty
and energy-decoherence are presented in both global and local sense. Global and
local master equations are derived. (The local concept is favored.)
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 16:14:11 GMT""},{""version"":""v2"",""created"":""Sun, 6 Mar 2005 11:06:47 GMT""}]","2011-07-19"
"quant-ph/0412155","Rafa{\l} Demkowicz-Dobrza\'nski","Rafal Demkowicz-Dobrzanski","State estimation on correlated copies","9 pages, 1 figure. Previous results were correct only in special
  cases. New correct formula for the fidelity has an absolute value sign added.
  New states optimal for state estimation are derived. Slightly changed
  notation","Phys. Rev. A 71, 062321 (2005)","10.1103/PhysRevA.71.062321",,"quant-ph",,"  State estimation is usually analyzed in the situation when copies are in a
product state, either mixed or pure. We investigate here the concept of state
estimation on correlated copies. We analyze state estimation on correlated N
qubit states, which are permutationally invariant. Using a correlated state we
try to estimate as good as possible the direction of the Bloch vector of a
single particle reduced density matrix. We derive the optimal fidelity for all
permutation invariant states. We find the optimal state, which yields the
highest estimation fidelity among the states with the same reduced density
matrix. Interestingly this state is not a product state. We also point out that
states produced by optimal universal cloning machines are the worst form the
point of view of estimating the reduced density matrix.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 16:24:13 GMT""},{""version"":""v2"",""created"":""Mon, 11 Jul 2005 07:23:48 GMT""},{""version"":""v3"",""created"":""Thu, 13 Jul 2006 17:53:47 GMT""}]","2009-11-10"
"quant-ph/0412156","Mauro Paternostro","M. S. Tame, M. Paternostro, M. S. Kim, V. Vedral","Toward a more economical cluster state quantum computation","4 pages, 2 figures, RevTeX4; proposal for experimental setup included","International Journal of Quantum Information, Vol. 4, No. 4 (2006)
  689-703","10.1142/S0219749906002092",,"quant-ph",,"  We assess the effects of an intrinsic model for imperfections in cluster
states by introducing {\it noisy cluster states} and characterizing their role
in the one-way model for quantum computation. The action of individual
dephasing channels on cluster qubits is also studied. We show that the effect
of non-idealities is limited by using small clusters, which requires compact
schemes for computation. In light of this, we address an experimentally
realizable four-qubit linear cluster which simulates a controlled-{\sf NOT}
({\sf CNOT}).
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 16:35:47 GMT""},{""version"":""v2"",""created"":""Tue, 11 Jan 2005 12:26:08 GMT""}]","2013-12-25"
"quant-ph/0412157","Arleta Szkola","I. Bjelakovic, J.-D. Deuschel, T. Krueger, R. Seiler, Ra.
  Siegmund-Schultze, A. Szkola","A quantum version of Sanov's theorem","15 pages",,"10.1007/s00220-005-1426-2",,"quant-ph math-ph math.MP math.PR",,"  We present a quantum extension of a version of Sanov's theorem focussing on a
hypothesis testing aspect of the theorem: There exists a sequence of typical
subspaces for a given set $\Psi$ of stationary quantum product states
asymptotically separating them from another fixed stationary product state.
Analogously to the classical case, the exponential separating rate is equal to
the infimum of the quantum relative entropy with respect to the quantum
reference state over the set $\Psi$. However, while in the classical case the
separating subsets can be chosen universal, in the sense that they depend only
on the chosen set of i.i.d. processes, in the quantum case the choice of the
separating subspaces depends additionally on the reference state.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 16:39:04 GMT""}]","2015-06-26"
