"astro-ph/0409159","Daniele Fargion","M. Iori, A. Sergi and D. Fargion","Test results of a prototype designed to detect horizontal cosmic ray
  flux","12 pages, 13 figures",,,,"astro-ph hep-ph",,"  In this paper we report test results from a prototype designed to detect
muons from horizontal air shower at large zenith angle,
  $86^{0}<\Theta<93^{0}$. To detect horizontal tracks and their directions we
select them according the muon vertical equivalent charge and we measure the
time of flight with a time resolution of 800 ps. Several measurements are
collected at different zenith angles. The background studies performed with two
modules show that the main source is due to tracks crossing the module at the
same time. The upper limit of background flux for a single twin module is
estimated to be $10^{-9} cm^{-2}$ $s^{-1}$ $sr^{-1} (90%CL)$. We estimated the
size of the surface array necessary to detect the shower flux of the order of
$10^{-9} cm^{-2}$ $yr^{-1}$ $sr^{-1}$ if originated by Tau Air-Showers
secondaries of GZK neutrino Tau below the horizons.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:02:06 GMT""},{""version"":""v2"",""created"":""Tue, 5 Oct 2004 07:56:25 GMT""}]","2016-08-30"
"nucl-th/0409013","Takashi Nakatsukasa","Takashi Nakatsukasa and Kazuhiro Yabana","Linear response theory in the continuum for deformed nuclei: Green's
  function vs. time-dependent Hartree-Fock with the absorbing-boundary
  condition","15 pages, 8 figures","Phys.Rev. C71 (2005) 024301","10.1103/PhysRevC.71.024301",,"nucl-th",,"  The continuum random-phase approximation is extended to the one applicable to
deformed nuclei. We propose two different approaches. One is based on the use
of the three dimensional (3D) Green's function and the other is the
small-amplitude TDHF with the absorbing-boundary condition. Both methods are
based on the 3D Cartesian grid representation and applicable to systems without
any symmetry on nuclear shape. The accuracy and identity of these two methods
are examined with the BKN interaction. Using the full Skyrme energy functional
in the small-amplitude TDHF approach, we study the isovector giant dipole
states in the continuum for O-16 and for even-even Be isotopes.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 06:29:31 GMT""},{""version"":""v2"",""created"":""Sun, 5 Dec 2004 10:10:29 GMT""}]","2009-11-10"
"nucl-th/0409014","Massimo Di Toro","B.Liu, H.Guo, M.Di Toro, V.Greco","Neutron stars with isovector scalar correlations","11 pages, 5 figures, revtex4 style","Eur.Phys.J. A25 (2005) 293-298","10.1140/epja/i2005-10095-1",,"nucl-th",,"  Neutron stars with the isovector scalar $\delta$-field are studied in the
framework of the relativistic mean field ($RMF$) approach in a pure nucleon
plus lepton scheme. The $\delta$-field leads to a larger repulsion in dense
neutron-rich matter and to a definite splitting of proton and neutron effective
masses. Both features are influencing the stability conditions of the neutron
stars. Two parametrizations for the effective nonlinear Lagrangian density are
used to calculate the nuclear equation of state ($EOS$) and the neutron star
properties, and compared to correlated Dirac-Brueckner results. We conclude
that in order to reproduce reasonable nuclear structure and neutron star
properties within a $RMF$ approach a density dependence of the coupling
constants is required.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 10:12:46 GMT""},{""version"":""v2"",""created"":""Wed, 12 Jan 2005 17:46:26 GMT""}]","2009-11-10"
"nucl-th/0409015","Hartmuth Arenh\""ovel","H. Arenh\""ovel, A. Fix and M. Schwamb","Spin asymmetry and GDH sum rule for real and virtual photons for the
  deuteron","9 pages, 7 figures, World Scientific style, invited talk at GDH 2004
  Symposium",,"10.1142/9789812702111_0040","MKPH-T-04-15","nucl-th",,"  An explicit evaluation of the spin asymmetry of the deuteron and the
associated GDH sum rule is presented which includes disintegration, single and
double pion and eta production. For the GDH integral a large cancellation is
found between the disintegration channel and the meson production channels.
Furthermore, first results for the contribution of the disintegration channel
to the generalized GDH integral at constant four-momentum transfer reveal a
dominance of the isovector M1 transition to the $^1$S$_0$-state near threshold
resulting in a negative contribution with a minimum around $Q^2\approx 0.2$
fm$^{-2}$ which is driven by the nucleon anomalous isovector magnetic moment.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 11:58:40 GMT""}]","2017-08-23"
"physics/0409039","G. Mavromanolakis","G. Mavromanolakis","Calorimeter clustering with minimal spanning trees","v2 stylistic changes, 3 pages, to appear in the Proceedings of the
  International Conference on Linear Colliders (LCWS 2004), Paris, 19-23 April
  2004",,,"LC Note: LC-TOOL-020","physics.data-an hep-ex nucl-ex physics.ins-det",,"  We present a top-down approach to calorimeter clustering. An algorithm based
on minimal spanning tree theory is described briefly.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:34:35 GMT""},{""version"":""v2"",""created"":""Thu, 16 Sep 2004 14:05:55 GMT""}]","2007-05-23"
"physics/0409040","G. Mavromanolakis","G. Mavromanolakis, D. Ward","Comparisons of hadronic shower packages","v2 stylistic changes, 4 pages, to appear in the Proceedings of the
  International Conference on Linear Colliders (LCWS 2004), Paris, 19-23 April
  2004",,,"LC Note: LC-TOOL-2004-019","physics.ins-det hep-ex nucl-ex physics.data-an",,"  We report on simulation studies comparing various hadronic shower packages.
Results show that predictions from different models vary significantly,
illustrating the necessity of testbeam data to resolve the situation.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:39:36 GMT""},{""version"":""v2"",""created"":""Thu, 16 Sep 2004 14:02:07 GMT""}]","2007-05-23"
"physics/0409041","Nikola Petrov","Nikola P. Petrov, Lu Lu, Charles R. Doering","Variational bounds on the energy dissipation rate in body-forced shear
  flow","15 pages, 7 figures",,"10.1080/14685240500228262",,"physics.flu-dyn",,"  A new variational problem for upper bounds on the rate of energy dissipation
in body-forced shear flows is formulated by including a balance parameter in
the derivation from the Navier-Stokes equations. The resulting min-max problem
is investigated computationally, producing new estimates that quantitatively
improve previously obtained rigorous bounds. The results are compared with data
from direct numerical simulations.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 23:39:56 GMT""}]","2009-11-10"
"physics/0409042","Kenneth Dalton","Kenneth Dalton","Gravity and the Fermion Mass","Appendix A is new","Nuovo Cim. B124:1175-1189,2009","10.1393/ncb/i2010-10825-3",,"physics.gen-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  It is shown that gravity generates mass for the fermion. It does so by
coupling directly with the spinor field. The coupling term is invariant with
respect to the electroweak gauge group $ U(1) \otimes SU(2)_L. $ It replaces
the fermion mass term $ m\bar{\psi} \psi $.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 01:09:12 GMT""},{""version"":""v2"",""created"":""Sat, 11 Sep 2004 13:10:59 GMT""},{""version"":""v3"",""created"":""Fri, 17 Sep 2004 13:35:17 GMT""},{""version"":""v4"",""created"":""Mon, 2 Feb 2009 09:42:58 GMT""},{""version"":""v5"",""created"":""Tue, 3 Feb 2009 04:02:57 GMT""},{""version"":""v6"",""created"":""Wed, 9 Jun 2010 04:53:13 GMT""},{""version"":""v7"",""created"":""Fri, 11 Jun 2010 03:28:18 GMT""}]","2014-11-18"
"physics/0409043","Gianpaolo Carosi","G. Carosi","Positron/Proton Separation Using the AMS-02 TRD","Poster presented at the XXIV Physics in Collisions Conference
  (PIC04), Boston, USA, June 2004, 3 pages, LaTeX, 4 eps figures. PSN MONP04",,"10.1016/j.nuclphysbps.2004.08.007",,"physics.ins-det",,"  AMS-02 is a cosmic ray experiment that will be placed on the International
Space Station. One of its goals is to search for WIMP Dark Matter, specifically
from anomalous features in the positron spectrum. In order to identify
positrons at high energy from the large background of protons, a Transition
Radiation Detector (TRD) will be used. Here we will present studies of
positron/proton separation using the TRD from the AMS-02 Simulation.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 15:51:01 GMT""}]","2017-08-23"
"quant-ph/0409042","Alex D. Gottlieb","Alex D. Gottlieb","Convergence of continuous-time quantum walks on the line","Version to appear in Phys. Rev. E",,"10.1103/PhysRevE.72.047102",,"quant-ph",,"  The position density of a ""particle"" performing a continuous-time quantum
walk on the integer lattice, viewed on length scales inversely proportional to
the time t, converges (as t tends to infinity) to a probability distribution
that depends on the initial state of the particle. This convergence behavior
has recently been demonstrated for the simplest continuous-time random walk
[see quant-ph/0408140]. In this brief report, we use a different technique to
establish the same convergence for a very large class of continuous-time
quantum walks, and we identify the limit distribution in the general case.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 17:35:07 GMT""},{""version"":""v2"",""created"":""Tue, 6 Sep 2005 19:46:16 GMT""}]","2013-05-29"
"quant-ph/0409043","Joseph M. Renes","Joseph M. Renes","Equiangular Spherical Codes in Quantum Cryptography","6 pages revtex, 2 figures. Together with quant-ph/0402135, this paper
  subsumes quant-ph/0311106","Quant. Inf. Comput. 5(1), 080-091 (2005)","10.26421/QIC5.1-8",,"quant-ph",,"  Quantum key distribution protocols based on equiangular spherical codes are
introduced and their behavior under the intercept/resend attack investigated.
Such protocols offer a greater range of secure noise tolerance and speed
options than protocols based on their cousins, the mutually-unbiased bases,
while also enabling the determination of the channel noise rate without the
need to sacrifice key bits. For fixed number of signal states in a given
dimension, the spherical code protocols offer Alice and Bob more noise
tolerance at the price of slower key generation rates.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 15:19:24 GMT""}]","2021-09-30"
"quant-ph/0409044","Eliahu Comay","E. Comay","Further Difficulties with the Klein-Gordon Equation","13 pages, 0 figures","Apeiron, 12, No. 1, 26 (2005)",,"TAUP 2783-2004","quant-ph",,"  The Dirac equation is compared with the Klein-Gordon one. Unlike the Dirac
case, it is proved that the Klein-Gordon equation has problems with the
Hamiltonian operator of the Schroedinger picture. A special discussion of the
Pauli-Weisskopf article and that of Feshbach-Villars proves that their theories
of a charged Klein-Gordon particle lack a self consistent expression for this
Hamiltonian. Related difficulties are pointed out.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 07:24:09 GMT""}]","2007-05-23"
"quant-ph/0409045","Debashis Gangopadhyay","Debashis Gangopadhyay, Mahendra Nath Sinha Roy","Quantum Logic Gates using q-deformed Oscillators","14 pages, latex, no changes in basic results, section-wise format for
  journal publication, additional material and references added","Int.Jour.of Quantum Information V4, No.2, (2006) 297",,,"quant-ph",,"  We show that the quantum logic gates, {\it viz.} the single qubit Hadamard
and Phase Shift gates, can also be realised using q-deformed angular momentum
states constructed via the Jordan-Schwinger mechanism with two q-deformed
oscillators.
  {\it Keywords :} quantum logic gates ; q-deformed oscillators ; quantum
computation {\it PACS:} 03.67.Lx ; 02.20.Uw
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 08:14:32 GMT""},{""version"":""v2"",""created"":""Thu, 4 Aug 2005 07:27:03 GMT""},{""version"":""v3"",""created"":""Fri, 14 Jul 2006 16:17:19 GMT""}]","2007-05-23"
"quant-ph/0409046","Ahmad Nawaz","Ahmad Nawaz and A. H. Toor","Generalized Quantization Scheme for Two-Person Non-Zero-Sum Games","9 pages, 0 figures","J. Phys. A: Math. Gen. 37, 11457-11463 (2004)","10.1088/0305-4470/37/47/014",,"quant-ph",,"  We have proposed a generalized quantization scheme for non-zero sum games
which can be reduced to two existing quantization schemes under appropriate set
of parameters. Some other important situations are identified which are not
apparent in the exiting two quantizations schemes.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 09:05:01 GMT""},{""version"":""v2"",""created"":""Sat, 11 Sep 2004 05:49:24 GMT""}]","2009-11-10"
"quant-ph/0409047","Marcos Curty","Marcos Curty, Otfried G\""uhne, Maciej Lewenstein and Norbert
  L\""utkenhaus","Detecting two-party quantum correlations in quantum key distribution
  protocols","13 pages, 1 figure","Phys. Rev. A 71, 022306 (2005)","10.1103/PhysRevA.71.022306",,"quant-ph",,"  A necessary precondition for secure quantum key distribution (QKD) is that
sender and receiver can prove the presence of entanglement in a quantum state
that is effectively distributed between them. In order to deliver this
entanglement proof one can use the class of entanglement witness (EW) operators
that can be constructed from the available measurements results. This class of
EWs can be used to provide a necessary and sufficient condition for the
existence of quantum correlations even when a quantum state cannot be
completely reconstructed. The set of optimal EWs for two well-known
entanglement based (EB) schemes, the 6-state and the 4-state EB protocols, has
been obtained recently [M. Curty et al., Phys. Rev. Lett. 92, 217903 (2004)].
Here we complete these results, now showing specifically the analysis for the
case of prepare&measure (P&M) schemes. For this, we investigate the signal
states and detection methods of the 4-state and the 2-state P&M schemes. For
each of these protocols we obtain a reduced set of EWs. More importantly, each
set of EWs can be used to derive a necessary and sufficient condition to prove
that quantum correlations are present in these protocols.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 12:30:26 GMT""}]","2016-08-16"
"quant-ph/0409048","Arul Lakshminarayan","V. Subrahmanyam, Arul Lakshminarayan","Transport of Entanglement Through a Heisenberg-XY Spin Chain","5 Pages. 3 Figures","Phys. Lett. A, vol. 349, pg. 164 (2006)","10.1016/j.physleta.2005.09.021","IITM/PH/TH/2004/8","quant-ph",,"  The entanglement dynamics of spin chains is investigated using Heisenberg-XY
spin Hamiltonian dynamics. The various measures of two-qubit entanglement are
calculated analytically in the time-evolved state starting from initial states
with no entanglement and exactly one pair of maximally-entangled qubits. The
localizable entanglement between a pair of qubits at the end of chain captures
the essential features of entanglement transport across the chain, and it
displays the difference between an initial state with no entanglement and an
initial state with one pair of maximally-entangled qubits.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 13:11:14 GMT""}]","2009-11-10"
